,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
159,Arabica,max gurdian,Costa Rica,,S015.367,beneficio santo domingo - beneficio dosmil,5-0015-0029,beneficios volcafé costa rica,1200,valle central,Various,275,18975 kg,Specialty Coffee Association of Costa Rica,2017 / 2018,"November 28th, 2017",Max Gurdian,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5,0.1,0,0,Bluish-Green,2,"November 28th, 2018",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1200,1200,1200
162,Arabica,fabian calderon mora,Costa Rica,coopetarrazú,,coopetarrazú,5-114-0170,coopetarrazú.r.l,1700,tarrazu,Coopetarrazú,250,1 lbs,Specialty Coffee Association of Costa Rica,2014,"July 6th, 2015",Fabian Calderon Mora,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5,0.11,0,0,Green,0,"July 5th, 2016",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1700,1700,1700
163,Arabica,federacion nacional de cafeteros,Colombia,,,cauca,Jan-08,federacion nacional de cafeteros,1800,cauca,,275,2 kg,Almacafé,2015/2016,"June 5th, 2015",Federacion Nacional de Cafeteros,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5,0.12,1,0,Green,0,"June 4th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
166,Arabica,dream together,Kenya,rumukia farmers,,sasini,,dream together co. ltd,2000 m,nyeri,,235,60 kg,Specialty Coffee Institute of Asia,2012,"September 16th, 2012",Dream Together,SL28,Washed / Wet,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,84.5,0.11,0,0,Blue-Green,0,"September 16th, 2013",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,2000,2000,2000
172,Arabica,max gurdian,Costa Rica,several farmers,5-0015-0231,beneficio san diego,5-0015-0231,beneficios volcafé costa rica,1300,tarrazu,Beneficio San Diego,275,69 kg,Specialty Coffee Association of Costa Rica,2016,"March 23rd, 2017",Max Gurdian,Caturra,Washed / Wet,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42,0.1,0,0,Blue-Green,3,"March 23rd, 2018",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1300,1300,1300
174,Arabica,carcafe ltda ci,Colombia,,3-59-0318,neiva,3-59-0318,carcafe ltda,,pitalito,FRANKLIN DUSSAN,304,35 kg,Almacafé,2015/2016,"January 25th, 2016",CARCAFE LTDA CI,Caturra,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,84.42,0,0,0,Green,1,"January 24th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
175,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-2940,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,Almacafé,2014,"July 9th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42,0,0,0,Green,3,"July 9th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
180,Arabica,lydiah mwangi,Kenya,kigwandi,K25159,central kenya coffee mills,,c dorman ltd,1800,nyeri,mutheka,150,60 kg,Kenya Coffee Traders Association,2017 / 2018,"August 3rd, 2017",Lydiah Mwangi,SL28,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,84.33,0.11,0,0,Green,4,"August 3rd, 2018",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800,1800,1800
181,Arabica,bismarck castro,Honduras,las cuchillas,152,cigrah s.a de c.v.,13-111-023,cigrah s.a de c.v,1500,comayagua,Nahun Maldonado,275,66 kg,Instituto Hondureño del Café,2016,"May 11th, 2017",Bismarck Castro,Caturra,,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,84.33,0.1,0,0,Green,3,"May 11th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1500,1500,1500
182,Arabica,raúl vargas,Colombia,,1,san josé / neiva,03-05-0845,skn caribecafe ltda,,huila,,275,70 kg,Almacafé,2016,"February 20th, 2017",Raúl Vargas,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,84.33,0,0,3,Green,5,"February 20th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
183,Arabica,bismarck castro,Honduras,los hicaques,76,dry mill,13-111-032,cigrah s.a de c.v,1500,central region,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2016,"April 4th, 2016",Bismarck Castro,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33,0.11,0,1,Green,2,"April 4th, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1500,1500,1500
184,Arabica,racafe & cia s.c.a,Colombia,,3-37-1704,bogota - bachue,3-37-1704,racafe & cia s.c.a,,la plata,,275,70 kg,Almacafé,2016,"February 16th, 2016",Racafe & Cia S.C.A,,,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,84.33,0,0,2,,4,"February 15th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
185,Arabica,carcafe ltda ci,Colombia,,,neiva,3-59-2235,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN / ANDRES RODRIGUEZ/HIPOLITO TORRES,250,70 kg,Almacafé,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33,0.11,6,0,Green,0,"April 28th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
186,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0225,exportadora de cafe condor s.a,1800,huila,,275,70 kg,Almacafé,2013,"July 19th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,0,0,0,Green,0,"July 19th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
194,Arabica,carcafe ltda ci,Colombia,,3-59-3461,pasto,3-59-3461,carcafe ltda,2560,nariño,JOSE ALBEIRO GOMEZ,275,70 kg,Almacafé,2016,"August 5th, 2016",CARCAFE LTDA CI,Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,0.11,0,0,Green,2,"August 5th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2560,2560,2560
198,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0637,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,Almacafé,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,0.11,0,0,Green,3,"November 18th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
199,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-4823,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,248,70 kg,Almacafé,2015,"October 26th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,0.12,4,0,Green,2,"October 25th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
200,Arabica,federacion nacional de cafeteros,Colombia,,,cauca,Jan-76,federacion nacional de cafeteros,1800,cauca,,275,2 kg,Almacafé,2015/2016,"June 5th, 2015",Federacion Nacional de Cafeteros,Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,0.12,0,0,Green,0,"June 4th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
201,Arabica,carcafe ltda ci,Colombia,,,neiva,3-59-2270,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,250,70 kg,Almacafé,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,0.12,3,0,Green,0,"April 28th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
205,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0290,exportadora de cafe condor s.a,1700,cauca,,250,70 kg,Almacafé,2013,"October 1st, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,0.11,0,0,Green,2,"October 1st, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1700,1700,1700
212,Arabica,racafe & cia s.c.a,Colombia,,3-37-3825,bachue,3-37-3825,racafe & cia s.c.a,,huila,La Plata,250,70 kg,Almacafé,2016,"August 19th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,84.17,0,0,0,Green,2,"August 19th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
213,Arabica,wayner jimenez,Costa Rica,los girasoles,EC-1180,los angeles micro-mill,5-818-0450,exclusive coffee - costa rica,1700,tarrazu,Los Angeles Micro-Mill (Ricardo Calderón),150,69 kg,Specialty Coffee Association of Costa Rica,2016,"August 19th, 2016",Wayner Jimenez,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17,0.09,0,0,Bluish-Green,2,"August 19th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1700,1700,1700
217,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-4173,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,Almacafé,2015,"August 18th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17,0,0,0,Bluish-Green,0,"August 17th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
218,Arabica,cooperativa el gorrion r.l,Nicaragua,las nubes,,beneficio humedo,017/176/165,cooperativa el gorrion r.l,de 900 a 1100 msnm,jinotega,COOPERATIVA EL GORRION RL,275,2 kg,Specialty Coffee Association of Costa Rica,2015,"August 3rd, 2015",COOPERATIVA EL GORRION R.L,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,84.17,0.12,0,0,Bluish-Green,0,"August 2nd, 2016",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,900,1100,1000
220,Arabica,"ceca, s.a.",Costa Rica,gamboa,,beneficio montañas del diamante,5-025-0111,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,320,69 kg,Specialty Coffee Ass,2014,"April 10th, 2015","CECA,S.A.",Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17,0,0,0,Blue-Green,0,"April 9th, 2016",Specialty Coffee Association of Costa Rica,528ec9cf40c1bab91ce8fae8e80c50f46627d2c6,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850,1850,1850
223,Arabica,olam agro colombia,Colombia,,,trilladora asia,329,olam international ltd,1530,huila,,250,1 kg,Almacafé,2014/2015,"October 15th, 2014",Olam Agro Colombia,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,84.17,0.12,0,0,Green,4,"October 15th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1530,1530,1530
225,Arabica,itochu corporation,Kenya,,,,37-0569-2730,taylor winch (coffee) ltd,approx. 1'500 metres a.s.l.,kenya,,300,18000 kg,Kenya Coffee Traders Association,2013,"November 7th, 2013",ITOCHU Corporation,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,84.17,0.08,0,0,Green,0,"November 7th, 2014",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1,500,250.5
228,Arabica,atlantic specialty coffee,El Salvador,el majahual,,j. hill y cia,09-060-24,atlantic specialty coffee,1500 meters,apaneca,Aida Batlle,275,2 kg,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,84.17,0.11,0,0,Bluish-Green,2,"March 18th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1500,1500,1500
229,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0019,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2012,"October 19th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17,0,0,0,Green,2,"October 19th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
233,Arabica,carcafe ltda ci,Colombia,,3-59-0503,neiva,3-59-0503,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70 kg,Almacafé,2017 / 2018,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08,0,1,3,Green,3,"November 9th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
236,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0118,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,200,70 kg,Almacafé,2014,"November 5th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08,0,0,0,,2,"November 5th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
241,Arabica,amanda powers,Costa Rica,,CR-3,"exclusive coffees s.a,",,thrive farmers,,,,275,150 lbs,Specialty Coffee Association,2017,"January 11th, 2018",Amanda Powers,,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,84,0.08,1,2,None,13,"January 11th, 2019",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
243,Arabica,bismarck castro,Honduras,las cuchillas,96,cigrah s.a de c.v.,13-111-038,cigrah s.a de c.v,1500,comayagua,Nahun Maldonado,275,66 kg,Instituto Hondureño del Café,2017,"May 11th, 2017",Bismarck Castro,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84,0.1,0,0,Green,5,"May 11th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1500,1500,1500
245,Arabica,olam agro colombia,Colombia,,,trilladora asia,613,olam international ltd,1600,huila,,250,1 kg,Almacafé,2014/2015,"December 18th, 2014",Olam Agro Colombia,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84,0.11,2,0,Green,7,"December 18th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1600,1600
248,Arabica,olam agro colombia,Colombia,,,trilladora asia,1032,olam international ltd,1480,huila,,250,1 kg,Almacafé,2014,"May 27th, 2014",Olam Agro Colombia,,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84,0.12,0,0,Green,0,"May 27th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1480,1480,1480
249,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora agricola,14-3-79-1417,ecom cca sa,1450,santander,,250,70 kg,Almacafé,2014,"May 27th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84,0.12,0,0,Green,0,"May 27th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1450,1450,1450
250,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-2301,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,138,70 kg,Almacafé,2014,"April 8th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84,0.12,0,0,Green,3,"April 8th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
253,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,68-0222,exportadora de cafe condor s.a,1700 msnm,cauca,,270,70 kg,Almacafé,2013,"June 21st, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,0.11,0,0,Green,1,"June 21st, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1700,1700,1700
254,Arabica,ibero kenya limited,Kenya,,,nkg/ck/hc/ss/kccm,37/00597/0252 - AB FAQ Q certified,ibero kenya limited,above 1200 m,blend,Blend of various producers,300,60 kg,Kenya Coffee Traders Association,2012,"March 8th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84,0,0,0,Green,2,"March 8th, 2014",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1200,1200,1200
256,Arabica,taylor winch (coffee) ltd.,Kenya,-,,,37-0569-2347,taylor winch (coffee) ltd,1650,central kenya,-,150,9000 kg,Kenya Coffee Traders Association,2012,"May 31st, 2012",Taylor Winch (Coffee) Ltd.,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84,0,0,0,Bluish-Green,0,"May 31st, 2013",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1650,1650,1650
264,Arabica,carcafe ltda ci,Colombia,,3-59-1772,neiva,3-59-1772,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,250,70 kg,Almacafé,2016,"February 11th, 2016",CARCAFE LTDA CI,,,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92,0.11,1,0,Green,2,"February 10th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
265,Arabica,almacafe,Colombia,,3-37-1606,bachué,Mar-37,racafe & cia s.c.a,,la plata,,226,70 kg,Almacafé,2016,"January 21st, 2016",ALMACAFE,,,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,83.92,0,1,3,,5,"January 20th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
267,Arabica,federacion nacional de cafeteros,Colombia,,,,3/1/5274,federacion nacional de cafeteros,,huila,,275,2 kg,Almacafé,2015,"August 18th, 2015",Federacion Nacional de Cafeteros,,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92,0,0,0,,0,"August 17th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
268,Arabica,federacion nacional de cafeteros,Colombia,,,,Jan-69,federacion nacional de cafeteros,,huila,,275,2 kg,Almacafé,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92,0,1,0,None,1,"March 11th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
269,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0985,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,Almacafé,2014,"December 12th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,0,0,0,Green,1,"December 12th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
271,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora boananza,3-79-0635,ecom cca sa,1550,santander,,250,70 kg,Almacafé,2014,"January 17th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,0.12,0,0,Green,3,"January 17th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550,1550,1550
275,Arabica,carcafe ltda ci,Colombia,,3-59-2888,cartago,3-59-2888,carcafe ltda,2527,nariño,Jose Albeiro gomez,275,70 kg,Almacafé,2017,"June 30th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83,0,1,0,Green,6,"June 30th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2527,2527,2527
276,Arabica,racafe & cia s.c.a,Colombia,,3-37-2112,bachue,3-37-2112,racafe & cia s.c.a,,huila,La Plata,275,70 kg,Almacafé,2016,"March 14th, 2017",Racafe & Cia S.C.A,Caturra,,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,83.83,0,1,2,Green,0,"March 14th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
277,Arabica,"ceca, s.a.",Costa Rica,gamboa,8039,beneficio montañas del diamante,5-025-0249,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,275,69 kg,Specialty Coffee Association of Costa Rica,2015,"June 6th, 2016","CECA, S.A.",Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83,0,0,0,Blue-Green,0,"June 6th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850,1850,1850
284,Arabica,eric thormaehlen,Costa Rica,various,,coricafe sa,5-0048-0145,coricafe s.a.,1200-1400,central valley,VARIOS,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83,0.1,0,0,Green,3,"June 9th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1200,1400,1300
288,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0221,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2013,"September 3rd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,83.83,0.11,0,0,Green,1,"September 3rd, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
296,Arabica,kennedy macharia,Kenya,,sc 9693,sasini mills,37-0985-4132,taylor winch (coffee) ltd,1800,nyeri,KAROGOTO,200,60 kg,Kenya Coffee Traders Association,,"January 11th, 2018",Kennedy Macharia,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,83.75,0.11,0,0,Green,2,"January 11th, 2019",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800,1800,1800
